"Börsdata ID";"Bolagsnamn";"Info - Ticker";"Info - Rapport";"F-Score - Poäng";"Kursutveck. - Utveck.  3m";"Kursutveck. - Utveck.  6m";"Kursutveck. - Utveck.  1år";"Börsvärde - Senaste";"Info - Sektor";"Info - Bransch"
"1474";"Bonesupport";"BONEX";"Q4-2025";"8";"8,9%";"-36,7%";"-48,1%";"13366";"Hälsovård";"Biotech"
"180";"Pricer";"PRIC B";"Q4-2025";"5";"-28,0%";"-37,9%";"-71,0%";"466";"Informationsteknik";"Elektronisk Utrustning"
"1772";"Lime Technologies";"LIME";"Q4-2025";"9";"-37,4%";"-38,6%";"-46,5%";"2685";"Informationsteknik";"Affärs- & IT-System"
"7";"Addnode";"ANOD B";"Q4-2025";"6";"-29,9%";"-38,7%";"-35,0%";"9381";"Informationsteknik";"IT-Konsulter"
"391";"Mendus";"IMMU";"Q4-2025";"1";"-15,6%";"-38,7%";"-46,2%";"268";"Hälsovård";"Biotech"
"2097";"CoinShares";"CS";"Q2-2025";"5";"-35,4%";"-38,9%";"11,7%";"5421";"Informationsteknik";"Betalning & E-handel"
"32";"Betsson";"BETS B";"Q4-2025";"7";"-34,4%";"-39,5%";"-41,7%";"13502";"Sällanköpsvaror";"Betting & Casino"
"2556";"Apotea";"APOTEA";"Q4-2025";"6";"-34,0%";"-39,8%";"-31,2%";"6054";"Dagligvaror";"Apotek"
"58";"CTT Systems";"CTT";"Q4-2025";"4";"-26,6%";"-40,0%";"-40,9%";"1719";"Industri";"Installation & VVS"
"1410";"IRLAB Therapeutics";"IRLAB A";"Q4-2025";"2";"-29,8%";"-40,1%";"-88,3%";"140";"Hälsovård";"Läkemedel"
"79";"eWork";"EWRK";"Q4-2025";"6";"-29,3%";"-40,7%";"-53,7%";"1162";"Informationsteknik";"IT-Konsulter"
"1421";"Mips";"MIPS";"Q4-2025";"4";"-22,9%";"-41,4%";"-51,9%";"6231";"Sällanköpsvaror";"Fritid & Sport"
"2184";"Sleep Cycle";"SLEEP";"Q4-2025";"6";"-28,9%";"-41,7%";"-64,5%";"332";"Hälsovård";"Hälsovård & Hjälpmedel"
"200";"Sectra";"SECT B";"Q2-2026";"8";"-31,5%";"-41,8%";"-19,4%";"37171";"Hälsovård";"Medicinsk Utrustning"
"377";"Bactiguard";"BACTI B";"Q4-2025";"3";"0,6%";"-42,3%";"-57,4%";"552";"Hälsovård";"Medicinsk Utrustning"
"1374";"Embracer";"EMBRAC B";"Q3-2026";"5";"-42,4%";"-42,3%";"-58,5%";"11453";"Sällanköpsvaror";"Gaming & Spel"
"383";"G5 Entertainment";"G5EN";"Q4-2025";"6";"-45,2%";"-43,9%";"-65,3%";"408";"Sällanköpsvaror";"Gaming & Spel"
"1524";"Xspray Pharma";"XSPRAY";"Q4-2025";"1";"-22,1%";"-45,3%";"-20,7%";"1049";"Hälsovård";"Biotech"
"2228";"Profoto";"PRFO";"Q4-2025";"4";"-7,5%";"-46,5%";"-77,3%";"364";"Industri";"Industrikomponenter"
"2077";"Cint Group";"CINT";"Q4-2025";"5";"14,5%";"-46,5%";"-47,1%";"1272";"Informationsteknik";"Affärs- & IT-System"
"745";"Tobii";"TOBII";"Q4-2025";"5";"2,3%";"-48,4%";"-20,5%";"396";"Informationsteknik";"Biometri"
"108";"Image Systems";"IS";"Q4-2025";"5";"-16,7%";"-48,4%";"-51,7%";"87";"Informationsteknik";"Affärs- & IT-System"
"157";"Nobia";"NOBI";"Q4-2025";"3";"-43,4%";"-48,7%";"-39,7%";"1597";"Sällanköpsvaror";"Möbler & Inredning"
"1774";"Q-Linea";"QLINEA";"Q4-2025";"3";"-1,5%";"-51,9%";"-57,2%";"455";"Hälsovård";"Medicinsk Utrustning"
"154";"Net Insight";"NETI B";"Q4-2025";"2";"-38,6%";"-53,8%";"-54,1%";"765";"Informationsteknik";"Kommunikation"
"2127";"Hemnet";"HEM";"Q4-2025";"7";"-27,4%";"-54,3%";"-71,4%";"11038";"Informationsteknik";"Internettjänster"
"386";"Starbreeze B";"STAR B";"Q4-2025";"4";"-27,6%";"-54,6%";"-58,0%";"135";"Sällanköpsvaror";"Gaming & Spel"
"2580";"Alvotech SDB";"ALVO SDB";"Q3-2025";"4";"-26,3%";"-55,6%";;"11876";"Hälsovård";"Biotech"
"775";"Transtema";"TRANS";"Q4-2025";"2";"-34,8%";"-56,7%";"-63,6%";"235";"Telekommunikation";"Telekomtjänster"
"2107";"Yubico";"YUBICO";"Q4-2025";"6";"-38,4%";"-61,1%";"-77,5%";"4391";"Informationsteknik";"Säkerhet & Bevakning"
"2281";"Netel Holding";"NETEL";"Q4-2025";"1";"-8,6%";"-63,2%";"-69,6%";"188";"Telekommunikation";"Telekomtjänster"
"166";"Vivesto";"VIVE";"Q4-2025";"1";"-36,9%";"-64,1%";"-67,0%";"91";"Hälsovård";"Läkemedel"
"1406";"Oncopeptides";"ONCO";"Q4-2025";"1";"-69,0%";"-64,6%";"2,1%";"443";"Hälsovård";"Biotech"
"918";"Nanologica";"NICA";"Q4-2025";"2";"-56,1%";"-68,7%";"-78,8%";"35";"Hälsovård";"Biotech"
"6";"Active Biotech";"ACTI";"Q4-2025";"2";"-24,6%";"-70,6%";"-46,2%";"129";"Hälsovård";"Biotech"
"2275";"Truecaller";"TRUE B";"Q4-2025";"6";"-49,3%";"-73,0%";"-85,7%";"4111";"Informationsteknik";"Kommunikation"
"924";"Immunovia";"IMMNOV";"Q4-2025";"3";"-39,0%";"-74,3%";"-56,9%";"119";"Hälsovård";"Medicinsk Utrustning"
"2001";"Wästbygg";"WBGR B";"Q4-2025";"3";"-76,0%";"-76,6%";"-84,0%";"115";"Industri";"Byggnation & Infrastruktur"
"983";"Xbrane Biopharma";"XBRANE";"Q4-2025";"2";"-39,9%";"-82,6%";"-70,1%";"121";"Hälsovård";"Biotech"
"1385";"Alligator Bioscience";"ATORX";"Q4-2025";"2";"-53,6%";"-95,3%";"-99,7%";"104";"Hälsovård";"Biotech"
"2591";"Verisure";"VSURE";"Q4-2025";"5";"-36,9%";;;"9333";"Informationsteknik";"Säkerhet & Bevakning"
